"record","time","date","Machine","SampleID","Remove","A","Ci","VPDleaf","Tair","Tleaf","CO2r","CO2s","H2Or","H2Os","RHs","flow","Qin","Patm","gsw"
"10","08:43:51","20220303","Derek","BNL20438","NO",13.6,233,1.28,29.24,28.93,417.36,400.12,25.027,27.103,66.85,499.5,799,100.6,143
"11","08:46:17","20220303","Derek","BNL20438","NO",11.9,241,1.29,29.51,28.94,415.51,400.44,25.087,27.005,65.62,499.6,600,100.6,130
"12","08:49:09","20220303","Derek","BNL20438","NO",9.5,258,1.3,29.8,28.94,412.05,399.92,25.171,26.923,64.33,499.5,400,100.6,117
"13","08:52:30","20220303","Derek","BNL20438","NO",7.6,270,1.31,29.84,28.95,409.93,400.16,25.281,26.831,63.95,499.6,300,100.6,103
"14","08:55:51","20220303","Derek","BNL20438","NO",5.83,285,1.31,29.88,28.89,407.63,400.07,25.397,26.749,63.63,499.6,199,100.6,89.2
"15","08:58:01","20220303","Derek","BNL20438","NO",3.28,326,1.3,29.93,28.87,404.24,399.78,25.485,26.723,63.37,499.5,119,100.6,81.7
"16","09:01:22","20220303","Derek","BNL20438","NO",1.91,349,1.32,30.07,28.95,402.48,399.73,25.603,26.727,62.9,499.5,79,100.6,72.8
"17","09:03:36","20220303","Derek","BNL20438","NO",0.834,371,1.32,30.08,28.96,401.25,399.82,25.704,26.737,62.88,499.5,49,100.6,66.7
"18","09:05:47","20220303","Derek","BNL20438","NO",0.21,386,1.33,30.1,29,400.67,400.03,25.799,26.76,62.87,499.6,31,100.6,61.7
"19","09:08:06","20220303","Derek","BNL20438","NO",-0.559,407,1.33,30.11,29,399.5,399.8,25.879,26.767,62.85,499.6,19,100.6,56.9
"20","09:11:22","20220303","Derek","BNL20438","NO",-1.06,426,1.32,30.09,28.97,399.22,400.18,26.009,26.784,62.95,499.6,10,100.6,49.9
"21","09:13:23","20220303","Derek","BNL20438","NO",-1.77,449,1.32,30.12,29.01,398.32,400.13,26.092,26.87,63.04,499.5,1,100.6,50
"22","09:16:31","20220303","Derek","BNL20438","YES",8.69,35.2,1.34,26.08,29.09,410.43,399.74,26.251,26.871,79.74,499.5,1999,100.7,39.2
"1","11:22:02","20220303","Derek","BNL20444","YES",12.6,295,1.71,27.28,28.91,416.94,400.04,18.466,22.771,62.98,499.6,2000,100.7,228
"2","11:29:26","20220303","Derek","BNL20444","YES",12.8,296,1.7,27.08,28.93,416.92,399.79,18.55,22.916,64.13,499.6,1999,100.7,233
"3","11:32:47","20220303","Derek","BNL20444","YES",12.3,298,1.68,27.11,28.87,416.11,399.64,18.646,22.926,64.05,499.6,1999,100.7,230
"4","11:35:16","20220303","Derek","BNL20444","NO",12.2,297,1.69,27.12,28.89,416.38,400,18.724,22.915,63.98,499.6,1999,100.7,224
"5","11:37:30","20220303","Derek","BNL20444","NO",11.6,296,1.7,27.74,28.89,414.95,399.38,18.788,22.788,61.35,499.6,1700,100.6,211
"6","11:40:23","20220303","Derek","BNL20444","NO",11.3,293,1.73,28.19,29,415.47,400.29,18.884,22.731,59.62,499.6,1501,100.6,199
"7","11:42:31","20220303","Derek","BNL20444","NO",11.4,288,1.73,28.22,28.97,415.08,399.85,18.955,22.658,59.31,499.6,1399,100.6,191
"8","11:44:35","20220303","Derek","BNL20444","NO",11,287,1.73,28.53,28.91,414.8,400.16,19.008,22.537,57.96,499.6,1200,100.6,181
"9","11:46:36","20220303","Derek","BNL20444","NO",10.3,289,1.74,28.95,28.87,413.94,400.16,19.051,22.415,56.25,499.6,1000,100.6,172
"10","11:49:57","20220303","Derek","BNL20444","NO",9.77,284,1.79,29.4,29.01,412.53,399.51,19.091,22.244,54.38,499.6,800,100.6,156
"11","11:52:32","20220303","Derek","BNL20444","NO",8.75,286,1.79,29.59,28.94,411.59,399.9,19.104,21.992,53.17,499.6,601,100.6,141
"12","11:54:36","20220303","Derek","BNL20444","NO",7.28,295,1.81,29.94,28.91,410.02,400.19,19.104,21.754,51.56,499.5,401,100.6,127
"13","11:56:37","20220303","Derek","BNL20444","NO",6.24,297,1.85,30.13,28.96,408.44,399.97,19.103,21.494,50.39,499.5,301,100.6,112
"14","11:58:39","20220303","Derek","BNL20444","NO",4.5,310,1.89,30.17,28.98,406.45,400.2,19.098,21.149,49.46,499.6,201,100.6,93.4
"15","12:00:40","20220303","Derek","BNL20444","NO",2.43,336,1.92,30.18,28.94,403.68,400.07,19.093,20.797,48.62,499.6,119,100.6,76
"16","12:03:49","20220303","Derek","BNL20444","NO",1.32,350,1.95,30.16,28.92,402.56,400.46,19.091,20.374,47.66,499.6,80,100.6,55.6
"17","12:06:43","20220303","Derek","BNL20444","NO",0.785,360,1.97,30.15,28.9,401.74,400.36,19.082,20.15,47.17,499.6,50,100.6,45.7
"18","12:10:04","20220303","Derek","BNL20444","NO",0.127,382,1.98,30.13,28.86,400.31,399.79,19.078,19.992,46.84,499.6,31,100.6,38.9
"19","12:13:09","20220303","Derek","BNL20444","NO",-0.288,400,1.99,30.23,28.89,400.17,400.17,19.071,19.917,46.41,499.6,20,100.6,35.7
"20","12:15:35","20220303","Derek","BNL20444","NO",-0.753,422,2,30.23,28.88,399.19,399.77,19.06,19.861,46.28,499.6,10,100.6,33.7
"21","12:17:36","20220303","Derek","BNL20444","NO",-1.28,449,2.02,30.35,28.96,398.93,400.14,19.054,19.838,45.89,499.6,1,100.6,32.7
"22","12:20:48","20220303","Derek","BNL20444","YES",2.94,260,2.11,26.13,29.07,403.97,400.06,18.288,19.211,56.8,499.6,2000,100.6,36.8
"1","07:17:46","20220304","Andy","BNL20451","YES",-0.106,477,2.15,26.01,26.95,399.86,399.97,14.033,14.081,42.05,500.1,2002,100.9,1.83
"2","08:41:35","20220304","Andy","BNL20451","YES",4.73,264,1.88,23.77,27.24,406.23,400.01,15.985,17.338,59.21,500.1,1999,100.9,61.4
"3","08:44:56","20220304","Andy","BNL20451","YES",5.4,251,1.85,20.33,27.15,407.18,400.15,16.041,17.411,73.38,500.1,3262,100.9,63.1
"4","08:48:17","20220304","Andy","BNL20451","NO",4.59,275,1.7,23.3,26.31,405.87,399.85,15.971,17.252,60.66,500.1,2001,100.9,64.6
"5","08:51:00","20220304","Andy","BNL20451","NO",4.41,278,1.79,24.87,26.79,405.92,400.09,15.917,17.258,55.23,500.1,1701,100.9,63.9
"6","08:53:01","20220304","Andy","BNL20451","NO",4.39,275,1.84,25.39,26.99,405.79,399.97,15.88,17.228,53.43,500.1,1500,100.9,62.6
"7","08:55:02","20220304","Andy","BNL20451","NO",4.35,274,1.85,25.47,27.05,405.66,399.9,15.856,17.19,53.08,500.1,1400,100.9,61.4
"8","08:57:03","20220304","Andy","BNL20451","NO",4.35,272,1.84,25.7,26.95,405.76,400,15.83,17.132,52.19,500.1,1200,101,60.4
"9","08:59:04","20220304","Andy","BNL20451","NO",4.19,276,1.84,26.21,26.92,405.6,400.05,15.794,17.08,50.47,500.1,999,100.9,59.7
"10","09:01:11","20220304","Andy","BNL20451","NO",3.94,280,1.85,26.74,26.97,405,399.76,15.762,17.036,48.81,500.1,800,101,58.7
"11","09:03:12","20220304","Andy","BNL20451","NO",3.79,282,1.85,27.09,26.95,405.08,400.02,15.732,16.979,47.66,500.1,601,101,57.3
"12","09:05:13","20220304","Andy","BNL20451","NO",3.26,294,1.85,27.46,26.92,404.5,400.09,15.738,16.946,46.53,500.1,400,101,55.5
"13","09:07:14","20220304","Andy","BNL20451","NO",2.81,304,1.86,27.68,26.96,403.81,399.96,15.745,16.917,45.87,500.1,299,101,53.6
"14","09:09:15","20220304","Andy","BNL20451","NO",2.13,322,1.87,27.89,26.98,402.99,399.97,15.739,16.872,45.19,500.1,200,101,51.5
"15","09:11:16","20220304","Andy","BNL20451","NO",1.18,349,1.87,27.92,26.95,401.76,399.91,15.733,16.804,44.93,500,119,101,48.6
"16","09:13:17","20220304","Andy","BNL20451","NO",0.521,370,1.88,27.92,26.94,401.2,400.16,15.725,16.73,44.71,500.1,80,101,45.4
"17","09:15:18","20220304","Andy","BNL20451","NO",0.0164,387,1.88,27.93,26.92,400.47,400.07,15.712,16.644,44.47,500,51,101,42
"18","09:17:19","20220304","Andy","BNL20451","NO",-0.462,407,1.89,27.93,26.91,399.83,400.04,15.699,16.554,44.22,500.1,31,101,38.3
"19","09:19:20","20220304","Andy","BNL20451","NO",-0.763,423,1.9,27.93,26.92,399.61,400.21,15.681,16.459,43.96,500.1,20,101,34.6
"20","09:21:28","20220304","Andy","BNL20451","NO",-1.2,450,1.91,27.93,26.93,398.78,399.93,15.664,16.354,43.68,500.1,11,101,30.4
"21","09:23:30","20220304","Andy","BNL20451","NO",-1.28,464,1.92,27.95,26.94,398.8,400.09,15.654,16.265,43.41,500.1,0,101,26.7
"1","07:26:37","20220304","Bernie","BNL20450","YES",5.69,343,1.77,25.39,27.79,399.93,391.07,14.495,19.588,60.72,499.8,2017,100.9,264
"2","09:27:10","20220304","Bernie","BNL20450","YES",16.2,296,1.59,24.34,27.34,421.62,400.02,15.239,20.385,67.36,499.8,2000,101,302
"3","09:29:11","20220304","Bernie","BNL20450","YES",15.9,298,1.54,23.89,26.98,421.33,400.18,15.24,20.167,68.46,499.8,2000,101,299
"4","09:31:22","20220304","Bernie","BNL20450","NO",15.9,296,1.53,23.8,26.87,420.99,399.92,15.231,20.038,68.43,499.8,2000,101,293
"5","09:34:17","20220304","Bernie","BNL20450","NO",14.8,301,1.53,25.02,26.8,419.85,400.19,15.213,19.899,63.14,499.8,1701,101,285
"6","09:36:18","20220304","Bernie","BNL20450","NO",14.3,300,1.56,25.62,26.92,419,399.92,15.207,19.828,60.72,499.8,1501,101,274
"7","09:38:19","20220304","Bernie","BNL20450","NO",14.1,299,1.58,25.9,27,418.79,399.97,15.212,19.799,59.64,499.8,1400,101,268
"8","09:40:20","20220304","Bernie","BNL20450","NO",13.3,302,1.58,26.34,26.91,417.89,400.09,15.202,19.644,57.67,499.8,1201,101,259
"9","09:42:21","20220304","Bernie","BNL20450","NO",12.4,305,1.58,26.89,26.87,416.56,399.97,15.189,19.479,55.34,499.8,1000,101,248
"10","09:44:22","20220304","Bernie","BNL20450","NO",11,310,1.6,27.48,26.84,414.77,399.89,15.181,19.313,53.02,499.8,801,101,236
"11","09:46:23","20220304","Bernie","BNL20450","NO",9.08,320,1.63,28.14,26.93,412.52,399.99,15.159,19.149,50.57,499.8,600,101,222
"12","09:48:37","20220304","Bernie","BNL20450","NO",6.77,333,1.67,28.47,26.99,410.03,400.37,15.143,18.885,48.93,499.8,400,101.1,202
"13","09:50:38","20220304","Bernie","BNL20450","NO",5,344,1.68,28.52,26.95,407.24,399.82,15.171,18.656,48.22,499.8,300,101.1,185
"14","09:52:40","20220304","Bernie","BNL20450","NO",3.07,359,1.7,28.71,26.92,404.93,399.93,15.176,18.405,47.04,499.8,200,101.1,169
"15","09:54:41","20220304","Bernie","BNL20450","NO",1.3,375,1.73,28.86,26.92,402.87,400.09,15.19,18.186,46.08,499.8,120,101.1,154
"16","09:57:01","20220304","Bernie","BNL20450","NO",0.448,383,1.75,28.88,26.96,401.63,399.96,15.208,17.971,45.49,499.8,79,101.1,139
"17","09:59:38","20220304","Bernie","BNL20450","NO",-0.482,395,1.78,28.88,26.97,400.39,399.95,15.211,17.715,44.83,499.8,50,101.1,123
"18","10:01:45","20220304","Bernie","BNL20450","NO",-0.976,403,1.8,28.88,26.96,399.9,400.13,15.196,17.508,44.32,499.8,29,101.1,112
"19","10:03:46","20220304","Bernie","BNL20450","NO",-1.36,410,1.82,28.87,26.97,399.04,399.8,15.19,17.337,43.91,499.8,21,101.1,102
"20","10:06:07","20220304","Bernie","BNL20450","NO",-1.82,420,1.84,28.87,26.98,398.49,399.87,15.173,17.164,43.47,499.8,9,101.1,93.5
"21","10:08:08","20220304","Bernie","BNL20450","NO",-2.11,427,1.87,28.9,27.06,398.35,400.11,15.172,17.072,43.15,499.8,-1,101,87.8
"1","07:23:01","20220304","Derek","BNL20452","YES",0.809,230,2.12,24.24,26.67,402.05,401,13.552,13.758,45.73,499.6,2000,101,8.1
"2","09:09:09","20220304","Derek","BNL20452","YES",6.68,287,1.77,24.6,26.94,409.06,400.15,15.554,17.75,57.74,500.4,2000,101,108
"3","09:12:30","20220304","Derek","BNL20452","YES",6.42,292,1.75,24.71,26.85,408.49,399.9,15.571,17.751,57.38,500.4,2000,101,108
"4","09:14:42","20220304","Derek","BNL20452","NO",6.35,291,1.77,24.81,26.91,407.87,399.37,15.58,17.752,57.04,500.4,2000,101,107
"5","09:17:26","20220304","Derek","BNL20452","NO",6.62,283,1.78,25.41,26.92,408.73,399.95,15.581,17.667,54.75,500.4,1701,101,102
"6","09:20:47","20220304","Derek","BNL20452","NO",6.36,283,1.8,25.87,27.01,408.51,400.05,15.576,17.623,53.17,500.4,1501,101,98.5
"7","09:23:00","20220304","Derek","BNL20452","NO",6.11,285,1.8,25.9,26.96,407.85,399.71,15.574,17.573,52.93,500.4,1400,101,96.5
"8","09:25:48","20220304","Derek","BNL20452","NO",6.14,281,1.8,26.27,26.95,407.91,399.75,15.574,17.519,51.62,500.4,1201,101,93.5
"9","09:28:12","20220304","Derek","BNL20452","NO",5.73,286,1.8,26.64,26.93,407.81,400.17,15.564,17.454,50.32,500.4,1000,101,90.7
"10","09:30:29","20220304","Derek","BNL20452","NO",5.31,290,1.81,26.98,26.93,407.03,399.92,15.566,17.398,49.15,500.4,800,101,87.5
"11","09:32:32","20220304","Derek","BNL20452","NO",5.08,293,1.81,27.26,26.91,407.04,400.22,15.568,17.364,48.28,500.4,601,101,85.8
"12","09:34:33","20220304","Derek","BNL20452","NO",4.15,307,1.82,27.62,26.93,405.57,399.88,15.553,17.29,47.06,500.4,400,101,82.4
"13","09:36:42","20220304","Derek","BNL20452","NO",3.56,317,1.83,27.76,26.96,405.24,400.27,15.551,17.268,46.62,500.4,300,101,80.9
"14","09:39:29","20220304","Derek","BNL20452","NO",3.33,320,1.82,27.81,26.93,404.64,399.97,15.562,17.237,46.39,500.4,200,101,79
"15","09:41:49","20220304","Derek","BNL20452","NO",2,346,1.82,27.85,26.89,403.24,400.18,15.58,17.184,46.16,500.4,119,101,75.7
"16","09:43:52","20220304","Derek","BNL20452","NO",1.17,362,1.82,27.93,26.86,401.93,399.9,15.586,17.128,45.79,500.4,80,101,72.8
"17","09:47:13","20220304","Derek","BNL20452","NO",0.794,369,1.85,28.14,26.94,401.85,400.31,15.56,17.001,44.89,500.4,51,101,66.8
"18","09:50:12","20220304","Derek","BNL20452","NO",0.0939,385,1.87,28.16,26.98,400.24,399.58,15.542,16.879,44.54,500.4,31,101.1,61.2
"19","09:53:00","20220304","Derek","BNL20452","NO",-0.219,395,1.88,28.16,26.98,400.4,400.17,15.563,16.757,44.22,500.4,20,101.1,54.1
"20","09:55:18","20220304","Derek","BNL20452","NO",-0.277,397,1.89,28.16,26.98,399.91,399.81,15.6,16.667,43.98,500.4,10,101.1,48
"21","09:57:56","20220304","Derek","BNL20452","NO",-0.82,419,1.91,28.2,27.06,399.55,400.14,15.646,16.606,43.71,500.4,1,101,42.6
"22","10:01:17","20220304","Derek","BNL20452","YES",4.09,210,1.89,23.7,26.9,405.43,400.2,15.728,16.543,56.83,500.4,1999,101.1,36.6
"1","09:25:14","20220304","Mariano","BNL20453","YES",2.78,317,1.97,23.88,27.96,403.74,399.81,16.451,17.924,60.97,500.1,2000,101.2,63.7
"2","09:28:54","20220304","Mariano","BNL20453","YES",2.92,310,2.04,23.97,28.25,404.32,400.23,16.475,17.917,60.62,500.1,1999,101.2,60.3
"3","09:30:55","20220304","Mariano","BNL20453","YES",2.73,314,1.98,23.57,27.96,403.79,399.95,16.47,17.849,61.88,500.1,2000,101.2,59.4
"4","09:32:56","20220304","Mariano","BNL20453","NO",2.78,312,1.96,23.51,27.87,403.93,400.05,16.477,17.827,62.03,500.1,2000,101.2,58.6
"5","09:35:19","20220304","Mariano","BNL20453","NO",2.53,319,1.94,24.76,27.79,403.7,400.11,16.487,17.838,57.58,500.1,1701,101.2,59.2
"6","09:37:34","20220304","Mariano","BNL20453","NO",2.63,316,1.96,25.51,27.88,403.44,399.73,16.476,17.838,55.06,500.1,1501,101.2,59.1
"7","09:39:35","20220304","Mariano","BNL20453","NO",2.61,316,1.98,25.79,27.94,403.7,400.02,16.483,17.835,54.15,500.1,1400,101.2,58.3
"8","09:41:36","20220304","Mariano","BNL20453","NO",2.53,318,1.96,26.49,27.86,403.52,399.94,16.462,17.81,51.88,500.1,1200,101.2,58.5
"9","09:43:37","20220304","Mariano","BNL20453","NO",2.34,323,1.98,27.29,27.91,403.32,399.96,16.436,17.786,49.43,500.1,1001,101.2,58.2
"10","09:46:02","20220304","Mariano","BNL20453","NO",2.36,321,2,27.97,28.01,403.04,399.66,16.411,17.75,47.44,500.1,800,101.2,57
"11","09:48:03","20220304","Mariano","BNL20453","NO",2.34,321,1.99,28.42,27.95,403.4,400.06,16.404,17.713,46.11,500.1,601,101.2,56
"12","09:50:04","20220304","Mariano","BNL20453","NO",2.11,325,1.99,29.04,27.91,403.12,400.07,16.405,17.675,44.38,500.1,400,101.2,54.5
"13","09:52:05","20220304","Mariano","BNL20453","NO",1.8,331,2.01,29.36,27.99,402.5,399.85,16.421,17.633,43.47,500.1,300,101.2,51.3
"14","09:54:31","20220304","Mariano","BNL20453","NO",1.57,333,2.01,29.47,27.94,402.51,400.18,16.44,17.538,42.97,500.1,201,101.2,46.5
"15","09:56:54","20220304","Mariano","BNL20453","NO",0.708,360,2.01,29.69,27.91,400.94,399.69,16.456,17.437,42.17,500.1,120,101.2,41.3
"16","09:59:17","20220304","Mariano","BNL20453","NO",0.271,375,2.02,29.71,27.89,400.31,399.63,16.449,17.314,41.83,500.1,81,101.2,36.3
"17","10:01:18","20220304","Mariano","BNL20453","NO",-0.0775,391,2.03,29.81,27.89,400.08,399.86,16.421,17.199,41.31,500.1,51,101.2,32.4
"18","10:03:38","20220304","Mariano","BNL20453","NO",-0.453,413,2.05,29.85,27.93,399.57,399.84,16.414,17.082,40.94,500.1,30,101.2,27.5
"19","10:05:39","20220304","Mariano","BNL20453","NO",-0.554,423,2.06,29.84,27.92,399.39,399.81,16.4,16.991,40.72,500.1,19,101.2,24.2
"20","10:07:40","20220304","Mariano","BNL20453","NO",-0.742,442,2.06,29.83,27.88,399.36,400.04,16.363,16.885,40.5,500.1,10,101.2,21.3
"21","10:09:41","20220304","Mariano","BNL20453","NO",-1.05,472,2.09,29.99,27.99,398.95,400.02,16.331,16.814,39.96,500.1,0,101.2,19.4
"1","08:09:18","20220307","Derek","BNL20462","YES",12,289,1.09,26.48,28.14,415.32,399.95,24.775,27.151,78.73,499.6,1999,100.6,195
"2","08:12:12","20220307","Derek","BNL20462","YES",13,281,1.06,25.89,28,416.05,399.52,24.799,27.133,81.43,499.6,1999,100.6,197
"3","08:14:17","20220307","Derek","BNL20462","YES",12.9,284,1.03,25.85,27.88,416.45,399.96,24.934,27.224,81.89,499.6,2000,100.6,200
"4","08:16:18","20220307","Derek","BNL20462","NO",12.6,289,1.01,26.02,27.87,416.24,400.15,25.057,27.364,81.51,499.6,2000,100.6,205
"5","08:18:19","20220307","Derek","BNL20462","NO",12,293,1.01,26.61,27.88,415.5,400.12,25.178,27.45,78.97,499.5,1701,100.6,203
"6","08:20:20","20220307","Derek","BNL20462","NO",11.6,291,1.02,26.91,27.92,414.88,400.07,25.281,27.441,77.56,499.6,1501,100.6,190
"7","08:22:21","20220307","Derek","BNL20462","NO",11.5,288,1.02,27.07,27.95,414.57,399.91,25.376,27.473,76.94,499.6,1399,100.6,184
"8","08:24:22","20220307","Derek","BNL20462","NO",11.1,289,1.02,27.45,27.99,414.12,399.97,25.491,27.536,75.38,499.6,1200,100.6,178
"9","08:26:23","20220307","Derek","BNL20462","NO",10.7,288,1.02,27.66,28,413.61,400,25.624,27.57,74.59,499.5,1000,100.6,169
"10","08:28:24","20220307","Derek","BNL20462","NO",10.1,288,1,27.81,27.91,412.95,400.05,25.739,27.553,73.9,499.5,800,100.6,160
"11","08:30:25","20220307","Derek","BNL20462","NO",9.09,295,0.997,28.2,27.9,411.54,399.92,25.836,27.571,72.25,499.5,601,100.6,154
"12","08:32:26","20220307","Derek","BNL20462","NO",7.58,306,1.01,28.51,27.94,409.78,400,25.925,27.567,70.96,499.6,400,100.6,143
"13","08:34:27","20220307","Derek","BNL20462","NO",6.42,314,1.01,28.57,27.94,408.32,399.97,26.006,27.556,70.71,499.5,299,100.6,135
"14","08:36:28","20220307","Derek","BNL20462","NO",4.65,333,1.01,28.73,27.94,406.35,400.15,26.076,27.539,70.01,499.5,199,100.6,127
"15","08:38:29","20220307","Derek","BNL20462","NO",2.8,353,1.01,28.74,27.93,403.97,400.06,26.151,27.49,69.82,499.6,120,100.6,115
"16","08:40:30","20220307","Derek","BNL20462","NO",1.77,366,1.01,28.76,27.93,402.52,399.88,26.245,27.479,69.74,499.5,80,100.6,106
"17","08:42:31","20220307","Derek","BNL20462","NO",0.854,379,1.01,28.76,27.92,401.52,400.04,26.336,27.45,69.67,499.5,50,100.6,94.9
"18","08:44:33","20220307","Derek","BNL20462","NO",0.313,387,1.02,28.77,27.95,400.87,400.08,26.423,27.426,69.55,499.5,31,100.6,84.4
"19","08:46:34","20220307","Derek","BNL20462","NO",-0.255,399,1.03,28.78,27.96,400.1,400.04,26.52,27.423,69.52,499.6,19,100.6,75.5
"20","08:48:35","20220307","Derek","BNL20462","NO",-0.421,403,1.03,28.78,27.97,399.74,399.91,26.621,27.422,69.51,499.5,11,100.6,66.7
"21","08:50:36","20220307","Derek","BNL20462","NO",-0.963,419,1.03,28.81,28.01,399.23,400.08,26.709,27.452,69.46,499.6,1,100.6,61.4
"22","08:54:00","20220307","Derek","BNL20462","YES",7.64,2090,1.14,25.06,28.18,408.82,399.68,26.871,26.773,84.42,499.6,1999,100.6,-7.13
"1","11:27:23","20220307","Derek","BNL20468","YES",10.8,273,1.45,26.04,28.98,414.34,400.43,23.078,25.552,76,500.4,2001,100.6,151
"2","11:31:30","20220307","Derek","BNL20468","YES",10,258,1.56,26.09,29.36,413.09,400.15,23.024,25.258,74.9,500.4,1999,100.6,125
"3","11:33:31","20220307","Derek","BNL20468","YES",9.83,255,1.51,25.63,29.09,412.75,400.12,23.08,25.154,76.67,500.4,1999,100.6,120
"4","11:35:33","20220307","Derek","BNL20468","NO",9.77,252,1.48,25.45,28.98,412.43,399.9,23.194,25.174,77.54,500.4,1999,100.6,116
"5","11:37:34","20220307","Derek","BNL20468","NO",9.44,260,1.45,25.96,28.89,412.07,399.95,23.358,25.33,75.7,500.4,1700,100.6,119
"6","11:39:35","20220307","Derek","BNL20468","NO",8.99,258,1.45,26.38,28.94,411.55,400,23.562,25.417,74.1,500.3,1500,100.6,111
"7","11:41:36","20220307","Derek","BNL20468","NO",8.81,254,1.45,26.58,29.01,411.34,400.05,23.768,25.534,73.55,500.3,1399,100.6,105
"8","11:43:37","20220307","Derek","BNL20468","NO",8.38,252,1.42,26.7,28.85,410.82,400.1,23.92,25.534,73.02,500.3,1201,100.6,98.4
"9","11:45:41","20220307","Derek","BNL20468","NO",7.89,253,1.44,27.23,28.93,410.23,400.13,23.98,25.537,70.83,500.3,1000,100.6,93.5
"10","11:47:42","20220307","Derek","BNL20468","NO",7.26,255,1.45,27.56,28.96,409.4,400.09,23.979,25.445,69.2,500.3,800,100.6,86.9
"11","11:49:43","20220307","Derek","BNL20468","NO",6.8,253,1.47,27.85,28.96,408.7,399.99,23.944,25.312,67.7,500.4,600,100.6,80.1
"12","11:51:44","20220307","Derek","BNL20468","NO",5.57,264,1.49,28.16,28.97,407.13,399.94,23.89,25.128,66,500.3,400,100.6,71.3
"13","11:53:46","20220307","Derek","BNL20468","NO",4.44,274,1.53,28.35,29.05,405.75,399.97,23.826,24.933,64.75,500.3,299,100.6,61.8
"14","11:55:47","20220307","Derek","BNL20468","NO",3.19,292,1.56,28.53,29.14,404.19,399.96,23.8,24.769,63.65,500.3,199,100.6,52.7
"15","11:57:48","20220307","Derek","BNL20468","NO",2.05,317,1.57,28.56,29.13,402.71,399.9,23.809,24.648,63.22,500.3,120,100.6,45.2
"16","11:59:49","20220307","Derek","BNL20468","NO",1.22,340,1.57,28.54,29.05,401.92,400.17,23.794,24.519,62.98,500.3,80,100.6,39
"17","12:01:51","20220307","Derek","BNL20468","NO",0.754,356,1.57,28.53,29.02,401.13,399.96,23.766,24.425,62.75,500.3,49,100.6,35.5
"18","12:03:52","20220307","Derek","BNL20468","NO",-0.0321,391,1.59,28.57,29.07,400.38,400.17,23.759,24.376,62.48,500.3,29,100.6,32.8
"19","12:06:03","20220307","Derek","BNL20468","NO",-0.348,407,1.61,28.54,29.16,399.53,399.71,23.806,24.393,62.63,500.3,20,100.6,30.8
"20","12:08:04","20220307","Derek","BNL20468","NO",-0.663,427,1.6,28.52,29.14,399.49,400.06,23.873,24.417,62.77,500.3,10,100.6,28.6
"21","12:10:12","20220307","Derek","BNL20468","NO",-0.994,448,1.58,28.52,29.09,398.9,399.88,23.969,24.484,62.94,500.4,1,100.5,27.4
"1","12:51:53","20220308","Derek","BNL20477","YES",9.05,305,1.6,25.99,28.87,412.49,400.33,20.613,23.808,70.87,500.4,2001,100.4,177
"2","12:55:56","20220308","Derek","BNL20477","YES",8.83,305,1.68,26.37,29.08,412.08,400.15,20.265,23.551,68.6,500.4,2001,100.5,174
"3","12:58:05","20220308","Derek","BNL20477","YES",8.85,304,1.68,26.49,28.98,412.24,400.29,19.98,23.254,67.3,500.4,2001,100.5,173
"4","13:00:54","20220308","Derek","BNL20477","NO",8.93,302,1.7,26.57,28.87,412.66,400.6,19.503,22.78,65.6,500.4,2001,100.5,171
"5","13:03:24","20220308","Derek","BNL20477","NO",8.38,302,1.75,27.41,28.9,411.41,400.06,19.176,22.357,61.28,500.4,1700,100.5,160
"6","13:05:40","20220308","Derek","BNL20477","NO",8.12,299,1.79,27.8,28.93,410.98,399.99,18.982,22.052,59.06,500.4,1500,100.5,151
"7","13:09:01","20220308","Derek","BNL20477","NO",7.9,297,1.82,27.97,28.97,411.21,400.52,18.88,21.847,57.95,500.4,1400,100.5,143
"8","13:11:03","20220308","Derek","BNL20477","NO",7.74,295,1.82,28.3,28.91,410.5,400.05,18.814,21.666,56.37,500.4,1201,100.4,137
"9","13:13:27","20220308","Derek","BNL20477","NO",7.51,292,1.85,28.7,28.91,410.53,400.41,18.735,21.455,54.52,500.4,1001,100.4,128
"10","13:15:37","20220308","Derek","BNL20477","NO",7.09,292,1.87,29.13,28.94,409.37,399.8,18.7,21.311,52.81,500.4,800,100.4,121
"11","13:17:45","20220308","Derek","BNL20477","NO",6.35,297,1.88,29.4,28.94,408.96,400.34,18.694,21.163,51.63,500.4,600,100.4,113
"12","13:20:02","20220308","Derek","BNL20477","NO",5.41,303,1.89,29.65,28.92,407.19,399.76,18.703,21.001,50.51,500.4,400,100.4,105
"13","13:22:14","20220308","Derek","BNL20477","NO",4.55,312,1.9,29.75,28.9,406.2,399.87,18.71,20.862,49.89,500.4,300,100.4,97.3
"14","13:24:44","20220308","Derek","BNL20477","NO",3.04,332,1.93,29.9,28.9,404.31,399.84,18.638,20.647,48.94,500.4,200,100.4,89.5
"15","13:26:57","20220308","Derek","BNL20477","NO",1.64,356,1.94,30,28.88,402.81,400.08,18.552,20.441,48.17,500.4,120,100.4,83.2
"16","13:30:18","20220308","Derek","BNL20477","NO",0.82,369,1.98,30.13,28.95,401.33,399.62,18.461,20.226,47.3,500.4,80,100.4,76
"17","13:32:39","20220308","Derek","BNL20477","NO",-0.159,391,2,30.15,28.99,400.57,400.09,18.456,20.121,47,500.4,49,100.4,70.9
