VNR (experiment no),ART (Species code),Species,BLT ,Julian Day,Date,Stand,SampleID,Predawn water potential bar ,"Instantaneous water potential, psi bar ",Patm,Tleaf,rFmBl % ,rFoBl % ,CO2r,Bta Grad C ,LtoB Grad C ,ALVPD,CO2s,TrOf mmol m-2 s-1 ,gsw,Bti Grad C ,Ci,Qin,A
334,101,Quercus faginea,1,204,23/07/1983 16:16,QSP,334_101_1_QSP,, ,1040,32.25,49.5,42.7,350,,31.46,24.665,337,1.3215,53.6,32.6,181,1282,4.8663
334,101,Quercus faginea,1,204,23/07/1983 09:12,QSP,334_101_1_QSP,, ,1040,31.05,50.8,44.7,350,,31.44,26.003,339,0.9706,37.3,32.74,152,1298,4.134
334,101,Quercus faginea,1,204,23/07/1983 16:12,QSP,334_101_1_QSP,, ,1040,32.25,49.2,42.1,350,,31.69,24.995,336,1.3493,54,32.67,178,1310,4.9946
334,101,Quercus faginea,1,204,23/07/1983 16:08,QSP,334_101_1_QSP,, ,1040,32.75,49,41.6,350,,31.92,25.58,336,1.55,60.6,33.09,187,1336,5.243
334,101,Quercus faginea,1,204,23/07/1983 16:04,QSP,334_101_1_QSP,, ,1040,33,49.4,41,350,,32.16,25.827,335,1.5176,58.8,33.37,188,1356,4.996
334,101,Quercus faginea,1,204,23/07/1983 16:00,QSP,334_101_1_QSP,, ,1040,33.1,49.4,40.4,350,,32.39,26.282,335,1.5835,60.2,33.58,189,1382,5.0823
334,101,Quercus faginea,1,204,23/07/1983 09:20,QSP,334_101_1_QSP,, ,1040,31.1,50.3,44.1,350,,31.74,26.159,339,1.2391,47.4,32.74,165,1404,4.8401
334,101,Quercus faginea,1,204,23/07/1983 09:24,QSP,334_101_1_QSP,, ,1040,31.55,50,43.8,350,,31.89,26.874,339,1.398,52,33.16,174,1416,5.0045
334,101,Quercus faginea,1,204,23/07/1983 15:56,QSP,334_101_1_QSP,, ,1040,32.95,49.5,39.9,350,,32.63,25.846,335,1.6439,63.6,33.37,191,1416,5.3063
334,101,Quercus faginea,1,204,23/07/1983 15:52,QSP,334_101_1_QSP,, ,1040,32.85,49.9,39.3,350,,32.86,25.788,335,1.6804,65.2,33.37,188,1430,5.5354
334,101,Quercus faginea,1,204,23/07/1983 09:28,QSP,334_101_1_QSP,, ,1040,31.8,50.1,43.5,350,,32.04,27.484,338,1.3917,50.6,33.51,177,1454,4.7233
334,101,Quercus faginea,1,204,23/07/1983 10:20,QSP,334_101_1_QSP,, ,1040,33.4,50,39.9,350,,33.97,29.667,336,1.8172,61.3,34.98,187,1458,5.2279
334,101,Quercus faginea,1,204,23/07/1983 15:48,QSP,334_101_1_QSP,, ,1040,33.25,47.8,38.7,350,,33.09,27.469,336,1.6933,61.6,33.79,187,1460,5.2918
334,101,Quercus faginea,1,204,23/07/1983 08:52,QSP,334_101_1_QSP,, ,1040,30.65,54.7,46,350,,30.7,23.703,336,1.4147,59.7,32.32,169,1470,5.8932
334,101,Quercus faginea,1,204,23/07/1983 09:32,QSP,334_101_1_QSP,, ,1040,32.3,49.9,43.3,350,,32.18,28.521,337,1.5404,54,34.07,181,1514,4.8621
334,101,Quercus faginea,1,204,23/07/1983 09:36,QSP,334_101_1_QSP,, ,1040,32.8,48.8,43,350,,32.33,29.612,338,1.6978,57.3,34.49,187,1520,4.9751
334,101,Quercus faginea,1,204,23/07/1983 09:44,QSP,334_101_1_QSP,, ,1040,33.15,48.9,42.4,350,,32.63,30.56,337,1.5745,51.5,34.98,175,1526,4.8035
334,101,Quercus faginea,1,204,23/07/1983 09:40,QSP,334_101_1_QSP,, ,1040,33.25,48.9,42.7,350,,32.48,30.424,337,1.7616,57.9,34.98,188,1534,4.9539
334,101,Quercus faginea,1,204,23/07/1983 09:48,QSP,334_101_1_QSP,, ,1040,33.2,49.3,42.1,350,,32.78,30.293,336,1.6554,54.6,34.98,181,1566,4.8659
334,101,Quercus faginea,1,204,23/07/1983 10:00,QSP,334_101_1_QSP,, ,1040,32.5,51.7,41.3,350,,33.23,28.214,335,1.5438,54.7,34.35,178,1618,5.0007
334,101,Quercus faginea,1,204,23/07/1983 15:16,QSP,334_101_1_QSP,, ,1040,33.8,38.3,37.2,350,,33.85,29.244,333,1.8817,64.3,32.95,185,1628,5.4587
334,101,Quercus faginea,1,204,23/07/1983 10:28,QSP,334_101_1_QSP,, ,1040,32.55,51.2,39.4,350,,34.27,28.796,336,1.5658,54.4,34.49,171,1652,5.2174
334,101,Quercus faginea,1,204,23/07/1983 15:12,QSP,334_101_1_QSP,, ,1040,34,48.5,37.2,350,,33.89,28.749,335,2.0382,70.9,34.7,203,1652,5.2982
334,101,Quercus faginea,1,204,23/07/1983 15:08,QSP,334_101_1_QSP,, ,1040,33.7,47.2,37.1,350,,33.94,28.792,336,2.1227,73.7,34.35,205,1668,5.4836
334,101,Quercus faginea,1,204,23/07/1983 10:08,QSP,334_101_1_QSP,, ,1040,32.75,50.7,40.8,350,,33.52,29.384,337,1.6924,57.6,34.7,178,1682,5.2716
334,101,Quercus faginea,1,204,23/07/1983 15:04,QSP,334_101_1_QSP,, ,1040,33.35,48.4,37.1,350,,33.99,27.842,335,2.0318,73,34.07,202,1682,5.519
334,101,Quercus faginea,1,204,23/07/1983 15:00,QSP,334_101_1_QSP,, ,1040,33.25,51.2,37,350,,34.04,26.383,333,1.7724,67.2,34,208,1692,4.7613
334,101,Quercus faginea,1,204,23/07/1983 14:56,QSP,334_101_1_QSP,, ,1040,33.25,49.6,37,350,,34.09,27.38,334,1.928,70.4,34.07,203,1712,5.2427
334,101,Quercus faginea,1,204,23/07/1983 10:04,QSP,334_101_1_QSP,, ,1040,32.65,51.7,41,350,,33.37,29.041,336,1.7027,58.6,34.7,179,1722,5.312
334,101,Quercus faginea,1,204,23/07/1983 14:52,QSP,334_101_1_QSP,, ,1040,33.45,49,36.9,350,,34.14,27.812,334,2.0127,72.4,34.21,205,1730,5.2884
334,101,Quercus faginea,1,204,23/07/1983 09:56,QSP,334_101_1_QSP,, ,1040,32.55,50.6,41.6,350,,33.08,29.706,337,1.3432,45.2,34.7,152,1740,4.8944
334,101,Quercus faginea,1,204,23/07/1983 10:12,QSP,334_101_1_QSP,, ,1040,32.95,52.3,40.5,350,,33.67,29.38,335,1.6638,56.6,35.05,178,1742,5.1358
334,101,Quercus faginea,1,204,23/07/1983 14:48,QSP,334_101_1_QSP,, ,1040,33.55,49.3,36.8,350,,34.18,28.137,336,2.0002,71.1,34.42,210,1752,5.0684
334,101,Quercus faginea,1,204,23/07/1983 14:44,QSP,334_101_1_QSP,, ,1040,33.55,47.4,36.8,350,,34.23,29.304,336,2.1424,73.1,34.49,208,1760,5.2473
334,101,Quercus faginea,1,204,23/07/1983 14:40,QSP,334_101_1_QSP,, ,1040,34.45,48.7,36.7,350,,34.28,29.916,333,2.2013,73.6,35.33,210,1776,5.0812
334,101,Quercus faginea,1,204,23/07/1983 10:16,QSP,334_101_1_QSP,, ,1040,33.45,52.1,40.2,350,,33.82,30.042,334,1.7872,59.5,35.47,179,1778,5.3227
334,101,Quercus faginea,1,204,23/07/1983 10:36,QSP,334_101_1_QSP,, ,1040,32.85,51.2,38.8,350,,34.56,29.423,336,1.7929,60.9,34.84,178,1778,5.5893
334,101,Quercus faginea,1,204,23/07/1983 10:32,QSP,334_101_1_QSP,, ,1040,32.75,52.4,39.1,350,,34.41,28.982,334,1.6861,58.2,34.84,172,1780,5.4546
334,101,Quercus faginea,1,204,23/07/1983 10:40,QSP,334_101_1_QSP,, ,1040,33.25,51.1,38.5,350,,34.71,29.969,336,1.7859,59.6,35.19,177,1792,5.4555
334,101,Quercus faginea,1,204,23/07/1983 11:44,QSP,334_101_1_QSP,, ,1040,36.3,47.5,35.5,350,,36.05,36.325,336,2.0895,57.5,37.92,201,1792,4.2751
334,101,Quercus faginea,1,204,23/07/1983 10:44,QSP,334_101_1_QSP,, ,1040,33.75,51.4,38.3,350,,34.86,31.051,336,1.7832,57.4,35.82,177,1796,5.2373
334,101,Quercus faginea,1,204,23/07/1983 10:48,QSP,334_101_1_QSP,, ,1040,34.15,49.5,38,350,,35.01,31.012,337,1.7256,55.6,35.68,181,1810,4.9576
334,101,Quercus faginea,1,204,23/07/1983 14:32,QSP,334_101_1_QSP,, ,1040,34.45,48.4,36.6,350,,34.38,30.291,333,2.1648,71.5,35.4,207,1810,5.016
334,101,Quercus faginea,1,204,23/07/1983 14:28,QSP,334_101_1_QSP,, ,1040,34.7,47.2,36.5,350,,34.42,31.449,335,2.2027,70,35.68,212,1828,4.8053
334,101,Quercus faginea,1,204,23/07/1983 10:52,QSP,334_101_1_QSP,, ,1040,34.7,48.7,37.7,350,,35.16,29.125,337,1.6274,55.9,35.19,194,1832,4.5459
334,101,Quercus faginea,1,204,23/07/1983 10:56,QSP,334_101_1_QSP,, ,1040,35.25,47.8,37.4,350,,35.31,33.013,337,1.7065,51.7,36.52,184,1838,4.5123
334,101,Quercus faginea,1,204,23/07/1983 14:24,QSP,334_101_1_QSP,, ,1040,35.25,46.3,36.5,350,,34.47,32.715,336,2.3125,70.7,36.17,215,1850,4.7144
334,101,Quercus faginea,1,204,23/07/1983 14:20,QSP,334_101_1_QSP,, ,1040,35.65,47.3,36.4,350,,34.52,32.933,334,2.359,71.6,36.59,214,1866,4.7323
334,101,Quercus faginea,1,204,23/07/1983 14:16,QSP,334_101_1_QSP,, ,1040,35.5,46.9,36.4,350,,34.57,33.151,335,2.2213,67,36.52,214,1878,4.4845
334,101,Quercus faginea,1,204,23/07/1983 14:12,QSP,334_101_1_QSP,, ,1040,35.6,46.6,36.3,350,,34.61,33.633,336,2.2596,67.2,36.66,215,1892,4.4667
334,101,Quercus faginea,1,204,23/07/1983 14:08,QSP,334_101_1_QSP,, ,1040,35.8,46,36.3,350,,34.66,34.376,336,2.2605,65.8,36.87,214,1894,4.4007
334,101,Quercus faginea,1,204,23/07/1983 14:04,QSP,334_101_1_QSP,, ,1040,35.75,44.9,36.2,350,,34.71,35.077,338,2.3608,67.3,36.87,215,1908,4.5195
334,101,Quercus faginea,1,204,23/07/1983 11:48,QSP,334_101_1_QSP,, ,1040,36.45,47.5,35.5,350,,36.03,37.323,336,2.1587,57.8,38.27,203,1918,4.2369
334,101,Quercus faginea,1,204,23/07/1983 14:00,QSP,334_101_1_QSP,, ,1040,36.1,45.1,36.1,350,,34.76,35.631,338,2.3279,65.3,37.22,216,1920,4.341
334,101,Quercus faginea,1,204,23/07/1983 13:56,QSP,334_101_1_QSP,, ,1040,36.3,44.5,36.1,350,,34.81,36.405,338,2.349,64.5,37.43,214,1930,4.3298
334,101,Quercus faginea,1,204,23/07/1983 13:52,QSP,334_101_1_QSP,, ,1040,36.65,43.3,36,350,,34.85,37.819,339,2.4435,64.6,37.78,218,1942,4.2008
334,101,Quercus faginea,1,204,23/07/1983 13:44,QSP,334_101_1_QSP,, ,1040,36.7,44.8,35.9,350,,34.95,37.331,338,2.4315,65.1,37.92,218,1954,4.202
334,101,Quercus faginea,1,204,23/07/1983 13:48,QSP,334_101_1_QSP,, ,1040,36.8,43.5,36,350,,34.9,38.214,339,2.4797,64.9,37.99,218,1954,4.2107
334,101,Quercus faginea,1,204,23/07/1983 13:40,QSP,334_101_1_QSP,, ,1040,36.65,45.5,35.8,350,,35,37.229,337,2.2951,61.6,37.99,217,1964,4.0089
334,101,Quercus faginea,1,204,23/07/1983 11:52,QSP,334_101_1_QSP,, ,1040,36.25,46.8,35.4,350,,36.01,37.301,338,2.0174,54.1,38.06,210,1968,3.7853
334,101,Quercus faginea,1,204,23/07/1983 13:36,QSP,334_101_1_QSP,, ,1040,36.45,46.6,35.8,350,,35.05,36.386,338,2.0155,55.4,37.85,216,1974,3.636
334,101,Quercus faginea,1,204,23/07/1983 11:56,QSP,334_101_1_QSP,, ,1040,36,45.6,35.4,350,,35.98,37.396,339,2.11,56.4,37.78,208,1980,4.0451
334,101,Quercus faginea,1,204,23/07/1983 13:28,QSP,334_101_1_QSP,, ,1040,36.3,45.6,35.7,350,,35.14,36.958,338,2.2956,62.1,37.78,214,1986,4.1636
334,101,Quercus faginea,1,204,23/07/1983 13:32,QSP,334_101_1_QSP,, ,1040,36.25,44.2,35.7,350,,35.09,37.131,339,2.3649,63.7,37.57,214,1990,4.3214
334,101,Quercus faginea,1,204,23/07/1983 13:24,QSP,334_101_1_QSP,, ,1040,36.25,45.3,35.6,350,,35.19,36.725,338,2.399,65.3,37.64,215,1992,4.3675
334,101,Quercus faginea,1,204,23/07/1983 13:12,QSP,334_101_1_QSP,, ,1040,35.75,45.6,35.4,350,,35.33,35.846,339,2.3076,64.4,37.22,215,1996,4.3258
313,82,Quercus coccifera,1,215,03/08/1983 05:32,QSP,313_82_1_QSP,-23.75,-24.1,1040,16.3,53.5,57.7,350,,15.6,8.624,350,0.2661,30.9,16.5,353,6,-0.1592
313,82,Quercus coccifera,1,215,03/08/1983 18:45,QSP,313_82_1_QSP,-23.75, ,1040,24.1,44.7,41.3,350,,25.2,16.345,349,0.242,14.8,24.2,281,100,0.5537
313,82,Quercus coccifera,1,215,03/08/1983 06:39,QSP,313_82_1_QSP,-23.75,-26,1040,18.1,36.5,35.8,350,,17.6,12.971,347,0.0631,4.9,18.2,,126,1.8475
313,82,Quercus coccifera,1,215,03/08/1983 17:47,QSP,313_82_1_QSP,-23.75,-28.8,1040,31.1,34.3,33.3,350,,30.6,30.448,349,0.2996,9.8,31.7,300,855,0.209
313,82,Quercus coccifera,1,215,03/08/1983 16:15,QSP,313_82_1_QSP,-23.75,-28.8,1040,34.3,33.9,36,350,,30.6,36.621,349,0.4051,11.1,34.9,282,911,0.3395
313,82,Quercus coccifera,1,215,03/08/1983 07:47,QSP,313_82_1_QSP,-23.75,-27.8,1040,23.6,28.8,28.2,350,,21.7,22.319,346,0.8062,36.1,24.8,200,1344,3.0639
313,82,Quercus coccifera,1,215,03/08/1983 10:33,QSP,313_82_1_QSP,-23.75,-29.6,1040,33,35.1,40.6,350,,28.3,36.684,350,0.4201,11.5,34.7,314,1825,0.1169
313,82,Quercus coccifera,1,215,03/08/1983 14:44,QSP,313_82_1_QSP,-23.75,-28.3,1040,36.4,32.7,35.9,350,,32.8,49.151,350,0.4578,9.3,39.1,378,1900,-0.3263
313,82,Quercus coccifera,1,215,03/08/1983 13:03,QSP,313_82_1_QSP,-23.75,-26.9,1040,38.5,31.7,33.2,350,,36.2,49.712,350,0.5352,10.8,39.7,366,1945,-0.2948
313,82,Quercus coccifera,1,215,03/08/1983 11:48,QSP,313_82_1_QSP,-23.75,-28.4,1040,36.6,32.7,35.8,350,,33.6,46.051,350,0.562,12.2,38.3,350,2000,-0.1967
450,82,Quercus coccifera,1,256,14/09/1983 10:41,QSP,450_82_1_QSP,, ,1033,24.95,39.4, ,350,, ,20.49,350,0.1162,5.7,25.86,472,0,-0.4799
450,82,Quercus coccifera,1,256,14/09/1983 10:37,QSP,450_82_1_QSP,, ,1033,24.95,39.3, ,350,, ,19.172,350,0.1143,6,25.15,450,10,-0.4155
450,82,Quercus coccifera,1,256,14/09/1983 10:35,QSP,450_82_1_QSP,, ,1033,24.94,39.3, ,350,, ,19.179,350,0.1283,6.7,25.15,407,18,-0.2863
450,82,Quercus coccifera,1,256,14/09/1983 10:33,QSP,450_82_1_QSP,, ,1033,24.96,39.4, ,350,, ,19.339,350,0.1438,7.4,25.26,369,27,-0.1397
450,82,Quercus coccifera,1,256,14/09/1983 10:31,QSP,450_82_1_QSP,, ,1033,24.97,39.4, ,350,, ,19.634,350,0.1727,8.8,25.42,345,34,-0.0337
450,82,Quercus coccifera,1,256,14/09/1983 10:29,QSP,450_82_1_QSP,, ,1033,24.96,39.6, ,350,, ,19.484,350,0.2065,10.6,25.37,294,60,0.3012
450,82,Quercus coccifera,1,256,14/09/1983 10:27,QSP,450_82_1_QSP,, ,1033,24.93,39.8, ,350,, ,19.634,349,0.2722,13.9,25.47,243,113,0.8346
450,82,Quercus coccifera,1,256,14/09/1983 10:23,QSP,450_82_1_QSP,, ,1033,24.98,40.2, ,350,, ,18.908,348,0.4114,21.8,25.17,223,168,1.5833
450,82,Quercus coccifera,1,256,14/09/1983 10:21,QSP,450_82_1_QSP,, ,1033,24.98,40.6, ,350,, ,18.765,347,0.5733,30.5,25.16,204,229,2.5622
450,82,Quercus coccifera,1,256,14/09/1983 10:18,QSP,450_82_1_QSP,, ,1033,24.96,41.1, ,350,, ,18.663,346,0.6972,37.4,25.18,187,357,3.5256
450,82,Quercus coccifera,1,256,14/09/1983 10:15,QSP,450_82_1_QSP,, ,1033,24.95,41.6, ,350,, ,18.553,345,0.8174,44.1,25.2,186,437,4.1533
450,82,Quercus coccifera,1,256,14/09/1983 10:13,QSP,450_82_1_QSP,, ,1033,24.95,41.8, ,350,, ,18.547,345,0.873,47.1,25.23,188,607,4.3796
450,82,Quercus coccifera,1,256,14/09/1983 10:09,QSP,450_82_1_QSP,, ,1033,24.96,42.1, ,350,, ,19.108,344,0.9574,50.1,25.58,190,727,4.5977
450,82,Quercus coccifera,1,256,14/09/1983 10:07,QSP,450_82_1_QSP,, ,1033,24.95,42.3, ,350,, ,19.418,344,0.9927,51.1,25.77,189,995,4.7025
450,82,Quercus coccifera,1,256,14/09/1983 10:05,QSP,450_82_1_QSP,, ,1033,24.99,42.3, ,350,, ,19.445,344,1.0241,52.7,25.8,193,1093,4.7156
450,82,Quercus coccifera,1,256,14/09/1983 09:57,QSP,450_82_1_QSP,, ,1033,24.98,42.9, ,350,, ,19.87,344,1.134,57.1,26.11,202,1436,4.7436
450,82,Quercus coccifera,1,256,14/09/1983 10:02,QSP,450_82_1_QSP,, ,1033,24.9,43.1, ,350,, ,20.305,344,1.1367,56,26.33,199,1436,4.7803
450,82,Quercus coccifera,1,256,14/09/1983 10:00,QSP,450_82_1_QSP,, ,1033,24.99,43, ,350,, ,20.106,344,1.1698,58.2,26.25,204,1559,4.7556
48,82,Quercus coccifera,1,34,03/02/1983 07:42,Arrabida,48_82_1_Arrabida,-15,-13.2,1042,10.4,62.6, ,330, , ,4.261,330,0.0134,3.2,10,280,7,0.0936
48,82,Quercus coccifera,1,34,03/02/1983 17:26,Arrabida,48_82_1_Arrabida,-15, ,1042,14.1,61.9, ,330,13, ,6.265,327,0.2469,39.4,14.4,287,105,0.9068
48,82,Quercus coccifera,1,34,03/02/1983 09:11,Arrabida,48_82_1_Arrabida,-15,-16,1042,14.3,56.5, ,330, , ,6.994,319,0.5642,80.7,14.4,221,326,4.8104
48,82,Quercus coccifera,1,34,03/02/1983 11:47,Arrabida,48_82_1_Arrabida,-15,-31.5,1042,20,57.1, ,330,17, ,10.609,304,1.6221,152.9,20.6,188,622,10.6102
48,82,Quercus coccifera,1,34,03/02/1983 10:22,Arrabida,48_82_1_Arrabida,-15,-21.7,1042,16.4,56.2, ,330,15, ,8.172,320,0.983,120.3,16.6,269,757,3.6017
48,82,Quercus coccifera,1,34,03/02/1983 15:41,Arrabida,48_82_1_Arrabida,-15,-22.3,1042,16.6,63.2, ,330,18, ,7.11,315,0.5793,81.5,16.9,195,865,5.9561
48,82,Quercus coccifera,1,34,03/02/1983 14:34,Arrabida,48_82_1_Arrabida,-15,-25.6,1042,20.9,56.7, ,330,20, ,11.152,314,1.2375,111,21.4,224,1127,5.9135
48,82,Quercus coccifera,1,34,03/02/1983 13:11,Arrabida,48_82_1_Arrabida,-15,-29.9,1042,18.6,64.4, ,330,18, ,8.894,308,1.1754,132.1,19.7,198,1455,8.8285
48,82,Quercus coccifera,2,34,03/02/1983 07:46,Arrabida,48_82_2_Arrabida,-15,-13,1042,10.4,64.8, ,330, , ,4.479,330,0.1362,30.4,10.6,323,11,0.0727
48,82,Quercus coccifera,2,34,03/02/1983 17:32,Arrabida,48_82_2_Arrabida,-15, ,1042,14.2,64.6, ,330,13, ,5.88,326,0.3846,65.4,14.5,291,36,1.2882
48,82,Quercus coccifera,2,34,03/02/1983 09:13,Arrabida,48_82_2_Arrabida,-15,-16.1,1042,14.7,59.3, ,330, , ,6.934,316,0.6819,98.3,15,239,308,4.5641
48,82,Quercus coccifera,2,34,03/02/1983 10:26,Arrabida,48_82_2_Arrabida,-15,-22,1042,15.9,65.8, ,330,15, ,6.924,305,1.0595,153,16.7,227,724,7.2146
48,82,Quercus coccifera,2,34,03/02/1983 15:45,Arrabida,48_82_2_Arrabida,-15,-22.1,1042,18,68.6, ,330,18, ,6.939,308,1.1884,171.3,18.5,242,740,6.7194
48,82,Quercus coccifera,2,34,03/02/1983 11:51,Arrabida,48_82_2_Arrabida,-15,-32,1042,20,66.9, ,330,17, ,9.268,298,2.1596,233,21.2,225,1261,9.946
48,82,Quercus coccifera,2,34,03/02/1983 13:14,Arrabida,48_82_2_Arrabida,-15,-29.8,1042,19.3,69.7, ,330,18, ,7.28,301,1.6588,227.8,19.8,231,1296,9.4123
48,82,Quercus coccifera,2,34,03/02/1983 14:36,Arrabida,48_82_2_Arrabida,-15,-25.5,1042,20.5,71.7, ,330,20, ,9.688,294,2.2259,229.8,22.5,214,1342,10.8566
50,102,Quercus ilex subsp. ballota,1,34,03/02/1983 08:03,Arrabida,50_102_1_Arrabida,-10,-13.7,1042,9.8,62.8, ,330, , ,4.301,329,0.0327,7.6,9.7,75,19,1.1976
50,102,Quercus ilex subsp. ballota,1,34,03/02/1983 17:49,Arrabida,50_102_1_Arrabida,-10, ,1042,13.7,59.7, ,330,10, ,6.14,330,0.4104,66.8,13.7,325,20,0.0665
50,102,Quercus ilex subsp. ballota,1,34,03/02/1983 16:25,Arrabida,50_102_1_Arrabida,-10,-20.3,1042,14.8,64.8, ,330,14, ,7.069,321,0.8309,117.5,16,211,531,7.8528
50,102,Quercus ilex subsp. ballota,1,34,03/02/1983 09:45,Arrabida,50_102_1_Arrabida,-10,-26.4,1042,13.6,60.3, ,330, , ,6.208,322,1.015,163.5,13.8,249,539,7.0812
50,102,Quercus ilex subsp. ballota,1,34,03/02/1983 15:07,Arrabida,50_102_1_Arrabida,-10,-27.7,1042,18.1,62.7, ,330,14, ,9.24,312,2.1558,233.3,19.4,202,1018,15.4891
50,102,Quercus ilex subsp. ballota,1,34,03/02/1983 12:16,Arrabida,50_102_1_Arrabida,-10,-32.2,1042,18.3,63.2, ,330,15, ,8.173,310,2.6925,329.4,18.8,225,1099,16.8246
50,102,Quercus ilex subsp. ballota,1,34,03/02/1983 13:37,Arrabida,50_102_1_Arrabida,-10,-30.1,1042,17,68.9, ,330,17, ,8.516,310,1.8382,215.9,19.1,177,1181,17.5737
50,102,Quercus ilex subsp. ballota,1,34,03/02/1983 11:01,Arrabida,50_102_1_Arrabida,-10,-32.2,1042,14.7,67.2, ,330,12, ,7.204,310,1.861,258.3,16.4,200,1249,17.2119
50,102,Quercus ilex subsp. ballota,2,34,03/02/1983 07:54,Arrabida,50_102_2_Arrabida,-10,-13.3,1042,10,63.5, ,330, , ,4.517,329,0.067,14.8,10.2,278,19,0.447
50,102,Quercus ilex subsp. ballota,2,34,03/02/1983 17:43,Arrabida,50_102_2_Arrabida,-10, ,1042,14,61.9, ,330,10, ,6.122,328,0.308,50.3,14.2,303,29,0.6776
50,102,Quercus ilex subsp. ballota,2,34,03/02/1983 09:41,Arrabida,50_102_2_Arrabida,-10,-25.8,1042,13.9,61.9, ,330, , ,5.881,314,0.6295,107,13.9,229,348,5.5368
50,102,Quercus ilex subsp. ballota,2,34,03/02/1983 16:21,Arrabida,50_102_2_Arrabida,-10,-20.8,1042,15.5,67.8, ,330,14, ,6.409,316,0.6551,102.2,16.3,235,452,4.9842
50,102,Quercus ilex subsp. ballota,2,34,03/02/1983 10:56,Arrabida,50_102_2_Arrabida,-10,-32.2,1042,15.5,67.4, ,330,12, ,6.363,307,1.0274,161.5,16.2,233,950,7.285
50,102,Quercus ilex subsp. ballota,2,34,03/02/1983 15:04,Arrabida,50_102_2_Arrabida,-10,-27.8,1042,17.5,68.6, ,330,14, ,6.726,306,1.0982,163.3,18,222,1105,8.2445
50,102,Quercus ilex subsp. ballota,2,34,03/02/1983 12:13,Arrabida,50_102_2_Arrabida,-10,-32.3,1042,19.1,65.3, ,330,15, ,8,303,1.6676,208.5,19.5,227,1250,9.5136
50,102,Quercus ilex subsp. ballota,2,34,03/02/1983 13:34,Arrabida,50_102_2_Arrabida,-10,-30.2,1042,17.7,73.2, ,330,17, ,7.761,298,1.1736,151.2,19.6,178,1257,11.0422
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 06:55,Arrabida,79_102_1_Arrabida,-19,-14.6,1040,11.1,73.5, ,330, , ,3.41,331,0.3337,97.9,11.1,337,14,-0.5033
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 18:32,Arrabida,79_102_1_Arrabida,-19, ,1040,12,57,52.7,330, ,12.1,6.053,329,0.1933,31.9,12.2,284,25,0.8291
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 07:51,Arrabida,79_102_1_Arrabida,-19,-10.9,1040,12.3,73.4, ,330, , ,3.889,324,0.2196,56.5,12.5,190,157,4.6627
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 17:36,Arrabida,79_102_1_Arrabida,-19,-8.5,1040,14.4,53.7,44.3,330, ,14.7,7.814,317,0.6057,77.5,14.8,192,212,5.9162
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 14:47,Arrabida,79_102_1_Arrabida,-19,-28.3,1040,21.5,51.4,36.6,330, ,21.8,12.913,309,3.4967,270.8,22,205,731,16.7144
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 08:47,Arrabida,79_102_1_Arrabida,-19,-15.1,1040,13.4,72.3, ,330, , ,4.946,310,0.3064,62,14.2,,774,16.5185
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 16:45,Arrabida,79_102_1_Arrabida,-19,-21,1040,17.2,52.7,40,330, ,17.4,9.777,315,2.0326,207.9,17.8,222,900,11.4358
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 15:45,Arrabida,79_102_1_Arrabida,-19,-30.3,1040,19.5,53.7,38.1,330, ,19.7,11.058,307,2.9307,265,20.1,192,982,18.2748
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 09:48,Arrabida,79_102_1_Arrabida,-19,-20.1,1040,16.2,67, ,330, , ,7.958,305,0.5536,69.6,17.9,,1306,16.4135
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 10:45,Arrabida,79_102_1_Arrabida,-19,-26.1,1040,21.3,66.5, ,330, , ,10.14,302,4.2011,414.3,22.5,227,1520,18.2362
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 13:52,Arrabida,79_102_1_Arrabida,-19,-26.2,1040,21.3,53.9,38.6,330, ,21.9,12.14,306,3.7668,310.3,21.8,204,1532,18.8331
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 12:56,Arrabida,79_102_1_Arrabida,-19,-28.3,1040,20.5,57.6,38.2,330, ,20.7,11.91,302,3.5739,300.1,21.8,190,1622,20.2885
79,102,Quercus ilex subsp. ballota,1,74,15/03/1983 11:46,Arrabida,79_102_1_Arrabida,-19,-31.7,1040,19.3,56.7, ,330, , ,11.859,306,3.1344,264.3,21,184,1776,19.5008
79,102,Quercus ilex subsp. ballota,2,74,15/03/1983 06:58,Arrabida,79_102_2_Arrabida,-19,-14.6,1040,11.1,74.2, ,330, , ,3.405,330,0.2181,64.1,11.2,329,20,-0.0179
79,102,Quercus ilex subsp. ballota,2,74,15/03/1983 18:33,Arrabida,79_102_2_Arrabida,-19, ,1040,11.9,56.6,52.7,330, ,12.1,5.888,329,0.1594,27.1,11.9,297,25,0.4813
